,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
93,92,107,92_الحين_انسانه_بنتي_فردا,"['الحين', 'انسانه', 'بنتي', 'فردا', 'الا', 'الحنان', 'الحمد لله', 'لله', 'قلبها', 'الاطفال كنت']","['الله يسعد قلبها', 'الله يسعدها', 'يسعد قلبها', 'الله يجزاها', 'تحب المدرسه', 'تعاملها الاطفال', 'الابتسامه', 'نفسيه اطفالنا', 'الصراحه', 'الله يسعد']","['وافضل معلمه نوره الخنفري تجنن اسلوب رقي تعامل بنتي مرا تحبها معلمه الاطفال يحبونها اشكرك قلبي', 'حبوبه لطيفه تعاملها الاطفال حنونه مرره بنتي استلمها الا نظيفه الله يسعدها', 'الحمد لله الشكر لطاقم حضانه تكوين راءعين مبدعين مخلصين دعواتي بالتوفيق الداءم الي مزيد النجاح']"
94,93,107,93_مركز راءع مركز_راءع مركز_راءع مركز راءع_مركز راءع,"['مركز راءع مركز', 'راءع مركز', 'راءع مركز راءع', 'مركز راءع', 'راءع', 'مركز', 'راءع للامانه', 'مركز راءع جد', 'راءعه مركز راءع', 'راءعه مركز']","['مركز راءع', 'مركز راءع جد', 'راءع مركز', 'مركز راءع مركز', 'راءعه مركز', 'راءعه مركز راءع', 'راءع مركز راءع', 'راءع', 'مركز افضل', 'مركز غراس']","['مركز راءع', 'مركز راءع', 'مركز راءع']"
95,94,106,94_التعامل_والتعامل_بالتعامل_وقمه,"['التعامل', 'والتعامل', 'بالتعامل', 'وقمه', 'وراقيه', 'الراءع', 'التعاون', 'الاداره', 'والتعاون', 'وتعامل الاداره']","['والرقي بالتعامل', 'والتعامل الراقي', 'ناحيه التعامل', 'التعامل الراقي', 'والتعامل', 'وتعامل الاداره', 'التعامل', 'والتواصل', 'والمعامله', 'والتطوير']","['واللبق التعامل', 'وراقيات التعامل', 'وراقيين التعامل']"
96,95,104,95_اهم شي_اخلي_ايش_اهم,"['اهم شي', 'اخلي', 'ايش', 'اهم', 'اي', 'وش', 'شي', 'ايش اقول', 'وش اخلي', 'شي اي']","['اهم شي', 'افضل شي', 'وعيال اختي', 'وش اخلي', 'اي حاجه', 'واهم شي', 'شي اي', 'اهم شي الفلوس', 'اي تجاوب', 'اي تواصل']","['اهم شي', 'اهم شي', 'اهم شي']"
97,96,104,96_وتعلم_القران_للقران_حفظ,"['وتعلم', 'القران', 'للقران', 'حفظ', 'السور', 'الحروف', 'وتعلمت', 'القصيره', 'قران', 'حفظ القران']","['وتعلمت', 'ويتعلم', 'والحفظ', 'حفظ القران', 'الحروف', 'السور القرانيه', 'تحفيظ القران', 'وتعلم', 'التحفيز', 'التحفيظ']","['وتعلم الحروف', 'وتعلم الالون', 'وتعلم لسور القران القصيره']"
98,97,103,97_الانشطه_وانشطه_انشطه_وانشطه جميله,"['الانشطه', 'وانشطه', 'انشطه', 'وانشطه جميله', 'منوعه', 'والانشطه', 'جميله', 'انشطتهم', 'ممتعه', 'حركيه']","['الانشطه', 'انشطه', 'وانشطه', 'انشطه كثير', 'انشطه جميله', 'وانشطه جميله', 'السنه', 'والانشطه', 'القران', 'انشطتهم']","['ومبتسمات الانشطه', 'الانشطه المقامه', 'الانشطه']"
99,98,103,98_ومرتاحه_والسلامه_معدومه_وسلامه,"['ومرتاحه', 'والسلامه', 'معدومه', 'وسلامه', 'ونعيمها', 'والسلام', 'بالسياره', 'وفرحانه', 'وقلبي', 'وحماسه']","['ومرتاحه', 'ومرتاح', 'وحماسه', 'وسلامه', 'ومره', 'وفرحانه', 'ومراعاه', 'والسلامه', 'ونعيمها', 'والسلام']","['ومرتاحه', 'ومرتاحه', 'ومرتاحه']"
100,99,103,99_ومتعاونين_ومهتمين_ومتجدده_ومتفاهمين,"['ومتعاونين', 'ومهتمين', 'ومتجدده', 'ومتفاهمين', 'ومجتهدين', 'ومجتهدات', 'ومهتميين', 'ومتجددين', 'بشكل كبير', 'جد']","['ومتعاونين', 'ومتفاهمين', 'ومهتمين', 'ومهتميين', 'ومجتهدين', 'ومتجددين', 'ومجتهدات', 'ومتجدده', 'النواحي', 'بشكل']","['ومتعاونين', 'ومتعاونين', 'ومتعاونين']"
101,100,103,100_والحمدلله_الحمدلله_والحمدالله_مبسوطه,"['والحمدلله', 'الحمدلله', 'والحمدالله', 'مبسوطه', 'مره مبسوطه', 'ومبسوطه', 'عشره', 'ومبسوط', 'مبسوط', 'مرتاحه']","['والحمدلله', 'والحمدالله', 'الحمدلله', 'بالله', 'الحمدلله يارب', 'اعوذ بالله', 'والذوق', 'واتحسن', 'والمدح', 'ومرتاحه']","['والحمدلله', 'والحمدلله', 'والحمدلله']"
102,101,101,101_ورعايه_وترتيب_وميس_ترتيب,"['ورعايه', 'وترتيب', 'وميس', 'ترتيب', 'شامله', 'راتب', 'لايعلي', 'استلام', 'الكتب', 'فروع']","['ورعايه', 'لايعلي', 'فروع', 'تشكر', 'كبيره', 'وميس', 'شامله', 'سنه', 'ومافي', 'استلام']","['ورعايه', 'ورعايه', 'ورعايه']"
103,102,101,102_والله_والله ان_والله انها_والله يشهد كلامي,"['والله', 'والله ان', 'والله انها', 'والله يشهد كلامي', 'والله يشهد', 'يشهد كلامي', 'والله الحمد', 'كلامي', 'يشهد', 'يا']","['والله الكلام', 'واللهم', 'والله اني', 'والله الحمد', 'والله شاهد', 'والله كلمه', 'والله يشهد', 'والله ان', 'حضانه والله', 'احط بنتي والله']","['والله مانسيتها', 'والله ياخوان', 'والله حرراام']"
104,103,101,103_وجميله_وحرصهم_واسع_واسع فضله,"['وجميله', 'وحرصهم', 'واسع', 'واسع فضله', 'فضله', 'وحرصها', 'والجميل', 'سهله', 'للكل', 'وجميل']","['واسع فضله', 'فضله', 'واسع', 'جد', 'حرفيا', 'للكل', 'سهله', 'وجميله', 'وجميل', 'وحرصهم']","['واسع فضله', 'واسع فضله', 'واسع فضله']"
105,104,101,104_مديره_مديره المدرسه_المركز الاستاذه_مديره المركز,"['مديره', 'مديره المدرسه', 'المركز الاستاذه', 'مديره المركز', 'الاستاذه', 'مديره المركز الاستاذه', 'مديره الروضه', 'المدرسه', 'لمديره', 'اشكر مديره']","['مديره المدرسه', 'مديره الروضه', 'واخص بالشكر مديره', 'المدرسه ومديره', 'المدرسه', 'الاستاذه سميه', 'المدرسه واشكر', 'الاستاذه نوره', 'المدرسه الاستاذه', 'المدرسه واخص']","['ومنسوبيها مديره', 'الله عفااف مديره المدرسه', 'ونستثني مديره المدرسه']"
106,105,100,105_ورحمه الله_ورحمه_الله_امام الله,"['ورحمه الله', 'ورحمه', 'الله', 'امام الله', 'امام', 'حق', '', '', '', '']","['ورحمه الله', 'ورحمه', 'الله', 'امام الله', 'حق', 'امام', '', '', '', '']","['ورحمه الله', 'ورحمه الله', 'ورحمه الله']"
107,106,100,106_متي_الروضه_تفتح_متي تفتح,"['متي', 'الروضه', 'تفتح', 'متي تفتح', 'غايه اللطف', 'الحب', 'الطف', 'والسنه', 'اللطف', 'الغيب']","['الصراحه الروضه', 'تفتح المدرسه', 'منسوبي الروضه', 'درست الروضه', 'فتره المساء', 'متي تفتح', 'بالفتره المساءيه', 'الروضه', 'الطاقم الي', 'تفتح النفس']","['السلام متي تفتح المدرسه', 'متي تفتح الروضه', 'متي تفتح الروضه']"
