,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
22,22,213,22_ومميزه_نظيفه_هند_ومتابعه,"['ومميزه', 'نظيفه', 'هند', 'ومتابعه', 'ونص', 'جيده', 'ايضا', 'مكان', '', '']","['ومميزه', 'ومتابعه', 'ونص', 'نظيفه', 'جيده', 'مكان', 'ايضا', '', '', '']","['ومميزه', 'ومميزه', 'ومميزه']"
23,23,204,23_السلام_موجود_ام_,"['السلام', 'موجود', 'ام', '', '', '', '', '', '', '']","['السلام', 'ام', '', '', '', '', '', '', '', '']","['السلام', 'السلام', 'السلام']"
24,24,192,24_وتعليم_والاداريات_نظيف_ومتابعه,"['وتعليم', 'والاداريات', 'نظيف', 'ومتابعه', 'المركز', 'تعليم', 'وافضل', 'وايضا', '', '']","['وتعليم', 'تعليم', 'وافضل', 'ومتابعه', 'نظيف', 'المركز', 'والاداريات', 'وايضا', '', '']","['وتعليم', 'وتعليم', 'وتعليم']"
25,25,189,25_مدرسه راءعه_مدرسه_راءعه_وجميله,"['مدرسه راءعه', 'مدرسه', 'راءعه', 'وجميله', 'الله', 'رااءعه', 'ماشاءالله', 'راقيه', 'مدارس', 'تاسيس صح']","['مدرسه راءعه', 'راءعه', 'رااءعه', 'راءع', 'مدرسه', 'جداا', 'ماشاءالله', 'راقيه', 'تاسيس صح', 'شكرا']","['مدرسه راءعه', 'مدرسه راءعه', 'مدرسه راءعه']"
26,26,181,26_ونظافه_ويكتب_صفر_الاجر,"['ونظافه', 'ويكتب', 'صفر', 'الاجر', 'نظافه', 'وخاصه', 'ومرتاح', 'مايكون', 'ونظيف', 'انصحكم']","['ونظافه', 'نظافه', 'ونظيف', 'وخاصه', 'ومرتاح', 'احط', 'الاجر', 'انصحكم', 'اروع', 'مره']","['ونظافه', 'ونظافه', 'ونظافه']"
27,27,179,27_والمعلمات_والمدرسات_سعوديات_,"['والمعلمات', 'والمدرسات', 'سعوديات', '', '', '', '', '', '', '']","['والمعلمات', 'والمدرسات', 'سعوديات', '', '', '', '', '', '', '']","['والمعلمات', 'والمعلمات', 'والمعلمات']"
28,28,178,28_وبركاته_ومهتمين_عملهم_بالانشطه,"['وبركاته', 'ومهتمين', 'عملهم', 'بالانشطه', 'حاجه', 'بشكل كبير', 'واضح', 'مهتمين', 'كبير', 'جد']","['وبركاته', 'عملهم', 'بالانشطه', 'كثير', 'مهتمين', 'جد', 'ومهتمين', 'كبير', 'بشكل', 'بشكل كبير']","['وبركاته', 'وبركاته', 'وبركاته']"
29,29,167,29_متعاونين_الله_مهتمين_استفاد,"['متعاونين', 'الله', 'مهتمين', 'استفاد', 'ماشاءالله', 'ممتاز', '', '', '', '']","['متعاونين', 'مهتمين', 'ممتاز', 'ماشاءالله', 'استفاد', 'الله', '', '', '', '']","['متعاونين', 'متعاونين', 'متعاونين']"
30,30,163,30_واهتمام_حقيقي_تعليم_,"['واهتمام', 'حقيقي', 'تعليم', '', '', '', '', '', '', '']","['واهتمام', 'تعليم', 'حقيقي', '', '', '', '', '', '', '']","['واهتمام', 'واهتمام', 'واهتمام']"
31,31,152,31_والاداره_واداريات_النفس_والامتنان,"['والاداره', 'واداريات', 'النفس', 'والامتنان', 'والاسعار', 'عسل', 'والاداريه', 'النظر', 'بجد', 'والان']","['والاداره', 'والاداريه', 'للاداره', 'بالمدرسه', 'والامتنان', 'والاسعار', 'والان', 'اروع', 'واداريات', 'عسل']","['والاداره', 'والاداره', 'والاداره']"
32,32,109,32_والتعليم_الترتيب_تشكر_ومافي,"['والتعليم', 'الترتيب', 'تشكر', 'ومافي', 'سنه', 'المكان', 'المركز', '', '', '']","['والتعليم', 'المكان', 'الترتيب', 'المركز', 'تشكر', 'ومافي', 'سنه', '', '', '']","['والتعليم', 'والتعليم', 'والتعليم']"
33,33,107,33_مركز راءع_راءع_مركز_غراس اليوم,"['مركز راءع', 'راءع', 'مركز', 'غراس اليوم', 'غراس', 'جددا', 'كامل', 'للامانه', 'نظافه', 'اليوم']","['مركز راءع', 'راءع', 'مركز', 'راءعه', 'جد', 'كامل', 'غراس اليوم', 'للامانه', 'انصح', 'افضل']","['مركز راءع', 'مركز راءع', 'مركز راءع']"
34,34,103,34_الوكيل_المديره_معلم_المالكه,"['الوكيل', 'المديره', 'معلم', 'المالكه', 'النظام', 'اما', 'مديره', 'مره', 'مركز', 'الله']","['الوكيل', 'المالكه', 'المديره', 'معلم', 'مديره', 'النظام', 'الله', 'مركز', 'مره', 'اما']","['الوكيل', 'الوكيل', 'الوكيل']"
35,35,96,35_والتقدير_القلب_اي_,"['والتقدير', 'القلب', 'اي', '', '', '', '', '', '', '']","['والتقدير', 'اي', 'القلب', '', '', '', '', '', '', '']","['والتقدير', 'والتقدير', 'والتقدير']"
36,36,95,36_المعلمات_المدرسات_الطلاب_الطالبات,"['المعلمات', 'المدرسات', 'الطلاب', 'الطالبات', 'فصل', '', '', '', '', '']","['المعلمات', 'المدرسات', 'الطالبات', 'الطلاب', 'فصل', '', '', '', '', '']","['المعلمات', 'المعلمات', 'المعلمات']"
37,37,59,37_والنجاح_تستاهلون_النجاح_للافضل,"['والنجاح', 'تستاهلون', 'النجاح', 'للافضل', 'القلب', '', '', '', '', '']","['والنجاح', 'النجاح', 'للافضل', 'تستاهلون', '', '', '', '', '', '']","['والنجاح', 'والنجاح', 'والنجاح']"
38,38,55,38_ويوفقها_المركز__,"['ويوفقها', 'المركز', '', '', '', '', '', '', '', '']","['ويوفقها', 'المركز', '', '', '', '', '', '', '', '']","['ويوفقها منصبها', 'ويوفقها', 'ويوفقها']"
39,39,45,39_والاحترام_لاداره__,"['والاحترام', 'لاداره', '', '', '', '', '', '', '', '']","['والاحترام', 'لاداره', '', '', '', '', '', '', '', '']","['والاحترام', 'والاحترام', 'والاحترام']"
