,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
68,68,50,68_وانشطه_وممتعه_الممتعه_,"['وانشطه', 'وممتعه', 'الممتعه', '', '', '', '', '', '', '']","['وانشطه', 'وممتعه', '', '', '', '', '', '', '', '']","['وانشطه', 'وانشطه', 'وانشطه']"
69,69,50,69_ومتعاونات_ربي يبارك_الاهل_يبارك,"['ومتعاونات', 'ربي يبارك', 'الاهل', 'يبارك', 'ربي', 'الشكر', '', '', '', '']","['ومتعاونات', 'يبارك', 'الاهل', 'ربي', 'الشكر', 'ربي يبارك', '', '', '', '']","['ومتعاونات', 'ومتعاونات', 'ومتعاونات']"
70,70,49,70_والتعليم___,"['والتعليم', '', '', '', '', '', '', '', '', '']","['والتعليم', '', '', '', '', '', '', '', '', '']","['والتعليم', 'والتعليم', 'والتعليم']"
71,71,48,71_والاخلاق_والقيم__,"['والاخلاق', 'والقيم', '', '', '', '', '', '', '', '']","['والاخلاق', 'والقيم', '', '', '', '', '', '', '', '']","['والاخلاق', 'والاخلاق', 'والاخلاق']"
72,72,45,72_مكان راءع_شهيد_مكان_راءع,"['مكان راءع', 'شهيد', 'مكان', 'راءع', 'والله', 'ماقول', 'ان الله', 'الله ربي', 'شاهد', 'نظيف']","['مكان راءع', 'راءع', 'مكان', 'نظيف', 'ربي', 'الله', 'والله', 'شهيد', 'شاهد', 'ان الله']","['مكان راءع', 'مكان راءع', 'مكان راءع']"
73,73,43,73_والاحترام___,"['والاحترام', '', '', '', '', '', '', '', '', '']","['والاحترام', '', '', '', '', '', '', '', '', '']","['والاحترام', 'والاحترام', 'والاحترام']"
74,74,42,74_بارك الله_بارك_وبارك_الله,"['بارك الله', 'بارك', 'وبارك', 'الله', 'عملها', 'الحضانه', '', '', '', '']","['بارك الله', 'الله', 'بارك', 'وبارك', '', '', '', '', '', '']","['بارك الله', 'بارك الله', 'بارك الله']"
75,75,41,75_ومتنوعه_ايضا__,"['ومتنوعه', 'ايضا', '', '', '', '', '', '', '', '']","['ومتنوعه', 'ايضا', '', '', '', '', '', '', '', '']","['ومتنوعه', 'ومتنوعه', 'ومتنوعه']"
76,76,38,76_الاداره___,"['الاداره', '', '', '', '', '', '', '', '', '']","['الاداره', '', '', '', '', '', '', '', '', '']","['الاداره', 'الاداره', 'الاداره']"
77,77,29,77_وراءعه_معاي_حتي_,"['وراءعه', 'معاي', 'حتي', '', '', '', '', '', '', '']","['وراءعه', 'معاي', 'حتي', '', '', '', '', '', '', '']","['وراءعه', 'وراءعه', 'وراءعه']"
78,78,20,78_ومرتاحه_تعاون_شكرا_,"['ومرتاحه', 'تعاون', 'شكرا', '', '', '', '', '', '', '']","['ومرتاحه', 'شكرا', 'تعاون', '', '', '', '', '', '', '']","['ومرتاحه', 'ومرتاحه', 'ومرتاحه']"
79,79,16,79_ومفيده_لطالب__,"['ومفيده', 'لطالب', '', '', '', '', '', '', '', '']","['ومفيده', 'لطالب', '', '', '', '', '', '', '', '']","['ومفيده', 'ومفيده', 'ومفيده']"
