,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
14,14,2289,14_حضانه_مدرسه_روضه_جميله,"['حضانه', 'مدرسه', 'روضه', 'جميله', 'الحضانه', 'افضل', 'الروضه', 'ممتازه', 'راءعه', 'مدرسه جميله']","['حضانه ممتازه', 'حضانه متميزه', 'حضانه راءعه', 'روضه جميله', 'حضانه سيءه', 'حضانه اكثر راءعه', 'حضانه', 'حضانه اكثر', 'افضل حضانه', 'مدرسه جميله']","['حضانه جميله', 'حضانه جميله', 'حضانه جميله']"
15,15,1986,15_شكرا_الشكر_شكر_القلب,"['شكرا', 'الشكر', 'شكر', 'القلب', 'اشكرهم', 'جهودهم', 'جزيل', 'شكرا القلب', 'كلمات', 'جهودكم']","['شكرا لجهودكم', 'شكرا جزيلا', 'اشكركم', 'اشكرهم', 'جزيل الشكر', 'لجهودكم', 'شكرا جميعا', 'شاكره', 'شكرا القلب', 'جهودكم']","['شكرا لسماء', 'شكرا اخلاصك', 'شكرا لصبرك']"
16,16,1939,16_المعلمات_ومعلمات_راءعات_والمعلمات,"['المعلمات', 'ومعلمات', 'راءعات', 'والمعلمات', 'معلمات', 'والاداريات', 'متعاونات', 'لطيفات', 'الموظفات', 'حنونات']","['المعلمات راءعات', 'ومعلمات راءعات', 'الراءعات', 'المعلمات لطيفات', 'راءعات', 'معلماتهم', 'متمكنات', 'معلماتها', 'خلوقات', 'معلمات متمكنات']","['والمعلمات راءعات', 'والمعلمات راءعات', 'والمعلمات راءعات']"
17,17,1509,17_مرتاحه_وانا_متطمنه_الحمدلله,"['مرتاحه', 'وانا', 'متطمنه', 'الحمدلله', 'وانا مرتاحه', 'باذن', 'وانتي', 'باذن الله', 'مجروحه', 'مبسوطه']","['وانا مرتاحه', 'وانتي مرتاحه', 'ومرتاحه', 'مرتاحه', 'متطمنه', 'صراحه', 'ومبسوطه', 'ماشفت الا', 'بصراحه', 'والحمدالله']","['وانا مرتاحه', 'وانا مرتاحه', 'وانا متطمنه رقم الحمدلله']"
18,18,1111,18_راقي_طاقم_وتعاملهم_تعليمي,"['راقي', 'طاقم', 'وتعاملهم', 'تعليمي', 'وطاقم', 'الطاقم', 'التعليمي', 'ممتاز', 'اداري', 'عمل']","['تعاملهم راقي', 'وتعامل راقي', 'تعامل راقي', 'تعاملها الراقي', 'حسن تعاملهم', 'متعاونين', 'وتعاملهم', 'اداره متعاونه', 'اخلاقهم', 'متعاونه']","['وتعاملهم راقي', 'وتعاملهم راقي', 'وتعاملهم راقي الاطفال']"
19,19,1087,19_رقم_رقم سنوات_سنوات_رقم رقم,"['رقم', 'رقم سنوات', 'سنوات', 'رقم رقم', 'شهور', 'رقم شهور', 'الرسوم', 'سنه', 'ابتداءي', 'التسجيل']","['رقم سنين', 'رقم سنوات', 'بعمر رقم', 'رقم ساعات', 'رقم الي', 'رقم شهور', 'رقم ريال', 'عمر رقم', 'درست رقم', 'رقم سنه']","['نقطتين اثنتين رقم', 'رقم للاسبوع', 'والباص رقم']"
20,20,1059,20_التوفيق_اتمني_واتمني_اتمني التوفيق,"['التوفيق', 'اتمني', 'واتمني', 'اتمني التوفيق', 'التقدم', 'نجاح', 'لله', 'الحمد', 'الحمدلله', 'الامام']","['اتمني التوفيق', 'دوام التوفيق', 'اتمني', 'بالتوفيق', 'كنت اتمني', 'التوفيق', 'واتمني', 'نتمني', 'الي الامام', 'تمنياتي']","['اتمني التوفيق', 'اتمني التوفيق', 'اتمني التوفيق']"
21,21,1037,21_وحسن_التعامل_الراقي_واهتمامهم,"['وحسن', 'التعامل', 'الراقي', 'واهتمامهم', 'وتعليمهم', 'تعاملهم', 'وتعاملهم', 'والذوق', 'والتعامل', 'وسرعه']","['حسن تعاملها', 'وتعاملهم', 'تعامل جميل', 'وتعامل ممتاز', 'تعاملها جميل', 'تعامل ممتاز', 'تعاملهم جميل', 'التعامل', 'تعامل', 'تعاملهم لطيف']","['وحسن التعامل', 'وحسن التعامل', 'وحسن التعامل']"
22,22,994,22_مكان جميل_المكان جميل_مكان_نظيف,"['مكان جميل', 'المكان جميل', 'مكان', 'نظيف', 'جميل', 'المكان', 'ومحترمه', 'والمكان', 'وراقيه', 'ومميزه']","['مكان جميل', 'المكان جميل', 'مكان مميز', 'جميل المكان', 'مكان نظيف', 'المكان حلو', 'المكان مرتب', 'مكان', 'جميل', 'المكان']","['مكان جميل', 'مكان جميل', 'مكان جميل']"
23,23,935,23_وحنونه_والرقي_والتعامل_والفعاليات,"['وحنونه', 'والرقي', 'والتعامل', 'والفعاليات', 'والحرص', 'والحنان', 'والشكر', 'والتطور', 'وحرصها', 'والتعليمي']","['وحنونه', 'والحنونه', 'والشكر', 'والرقي', 'سعوديات', 'والصبر', 'والصدق', 'وتواصل', 'والحارس', 'والتطور']","['وحنونه', 'وحنونه', 'وحنونه']"
